id,neighborhood,property_type,price,sqft,price_per_sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,hoa_monthly,days_on_market,location
61,Evergreen,Townhouse,1479000,1636,904.03,2,2,1058,2008,1,2,320,92,Downtown
62,Berryessa,Townhouse,911000,1171,777.97,2,2,1437,1961,2,1,480,51,Rural
63,Downtown San Jose,Townhouse,1232000,1203,1024.11,2,3,1297,1961,3,1,400,18,Downtown
64,Willow Park,Multi-Family,1729000,1884,917.73,5,4,6709,1995,2,2,0,56,Rural
65,Alviso,Single Family,1744000,2875,606.61,3,4,7266,1967,2,2,0,37,Suburb
66,Blossom Valley,Townhouse,1197000,1551,771.76,3,2,1692,2023,1,3,550,14,Rural
67,Berryessa,Townhouse,873000,1249,698.96,3,3,1576,1991,2,3,150,65,Rural
68,Evergreen,Single Family,2026000,2158,938.83,3,2,8383,1983,1,2,480,55,Suburb
69,North San Jose,Condo,781000,846,923.17,2,2,0,2005,1,0,250,31,Downtown
70,Downtown San Jose,Condo,916000,913,1003.29,3,2,0,2008,1,1,320,73,Rural
71,Rose Garden,Single Family,3336000,2958,1127.79,3,2,5559,1977,2,1,400,91,Suburb
72,Cambrian Park,Single Family,3370000,3083,1093.09,3,4,8329,2015,1,0,0,49,Downtown
73,Cambrian Park,Single Family,3254000,3287,989.96,3,2,3872,1954,1,2,0,65,Suburb
74,Almaden Valley,Townhouse,1857000,1587,1170.13,3,2,1780,2004,2,0,550,64,Rural
75,Almaden Valley,Townhouse,1445000,1410,1024.82,3,2,1981,1954,2,3,250,13,Downtown
76,Evergreen,Single Family,2754000,2804,982.17,4,3,8566,1976,2,2,0,41,Rural
77,Alviso,Condo,603000,1039,580.37,2,1,0,1960,1,1,480,30,Suburb
78,Berryessa,Condo,523000,760,688.16,1,1,0,2018,1,0,320,60,Downtown
79,Santa Teresa,Condo,668000,898,743.88,1,1,0,1984,1,2,550,61,Downtown
80,Almaden Valley,Condo,899000,870,1033.33,3,1,0,2002,1,1,480,22,Downtown
81,Communications Hill,Single Family,1690000,1682,1004.76,2,1,4859,1987,2,3,0,59,Rural
82,Almaden Valley,Single Family,3247000,2345,1384.65,5,3,5730,2012,1,2,0,58,Downtown
83,Santa Teresa,Single Family,1876000,2125,882.82,2,1,5375,2021,3,0,0,76,Downtown
84,Willow Glen,Townhouse,1371000,1179,1162.85,3,3,1705,1983,2,2,480,65,Suburb
85,Almaden Valley,Single Family,3854000,2772,1390.33,3,2,8989,1961,2,1,0,39,Downtown
86,East San Jose,Townhouse,1059000,1833,577.74,2,2,980,1988,2,0,550,68,Suburb
87,Alviso,Multi-Family,1656000,3146,526.38,6,4,5692,1954,2,1,550,66,Suburb
88,East San Jose,Single Family,966000,1311,736.84,3,2,7999,1964,3,2,0,6,Suburb
89,East San Jose,Condo,444000,845,525.44,1,2,0,2018,1,2,0,31,Suburb
90,Alviso,Townhouse,975000,1472,662.36,2,3,1115,2011,2,1,480,37,Downtown
91,Downtown San Jose,Townhouse,1410000,1483,950.78,2,2,1928,1966,2,2,480,20,Suburb
92,Alviso,Single Family,1578000,2799,563.77,3,3,5688,1948,2,1,0,87,Downtown
93,North San Jose,Townhouse,1424000,1457,977.35,3,2,1480,2018,2,2,250,27,Suburb
94,Santa Teresa,Single Family,2371000,2668,888.68,3,3,3857,1988,2,2,0,87,Suburb
95,Willow Park,Townhouse,1304000,1155,1129.0,3,2,1058,2012,1,1,550,59,Downtown
96,Almaden Valley,Single Family,4406000,2971,1483.0,2,4,4680,2000,1,1,0,36,Rural
97,Rose Garden,Condo,1093000,1007,1085.4,1,2,0,2016,1,1,480,94,Suburb
98,Communications Hill,Townhouse,1704000,1893,900.16,2,3,940,1978,1,1,480,14,Suburb
99,Downtown San Jose,Multi-Family,3389000,3097,1094.28,6,3,5817,1969,1,0,250,10,Rural
100,Berryessa,Single Family,2622000,2864,915.5,3,2,7851,2000,1,3,0,13,Suburb
101,Blossom Valley,Townhouse,1165000,1634,712.97,2,2,1994,1966,2,2,320,35,Downtown
102,East San Jose,Single Family,1774000,3005,590.35,3,4,7977,1968,2,1,0,57,Rural
103,Santa Teresa,Single Family,1737000,2337,743.26,3,3,7458,1961,2,2,0,92,Downtown
104,Berryessa,Single Family,2526000,2721,928.34,3,1,8136,1954,2,2,0,39,Downtown
105,Willow Park,Townhouse,1629000,1621,1004.94,3,2,1189,1980,3,2,480,20,Rural
106,East San Jose,Single Family,864000,1261,685.17,3,3,3773,2022,1,1,0,44,Suburb
107,Santa Teresa,Single Family,1659000,1922,863.16,3,3,6497,2015,1,1,0,64,Downtown
108,Willow Park,Single Family,2769000,2487,1113.39,2,3,4116,1966,3,1,0,53,Rural
109,Alviso,Townhouse,788000,1374,573.51,2,2,828,1981,2,2,480,89,Downtown
110,Berryessa,Condo,918000,1253,732.64,2,1,0,1977,1,2,400,44,Suburb
111,Communications Hill,Condo,1092000,1263,864.61,1,2,0,1986,1,0,150,8,Rural
112,Willow Glen,Single Family,4143000,3117,1329.16,2,1,5423,2016,2,2,0,92,Downtown
113,West San Jose,Single Family,2265000,1732,1307.74,4,4,4311,2010,1,1,0,30,Suburb
114,North San Jose,Single Family,2322000,2067,1123.37,3,1,6509,2017,2,2,250,27,Suburb
115,Almaden Valley,Townhouse,1821000,1843,988.06,3,2,1234,1950,1,1,150,75,Suburb
116,Evergreen,Single Family,2948000,3370,874.78,3,3,5269,1977,2,1,550,21,Suburb
117,Cambrian Park,Single Family,1568000,1814,864.39,2,4,3711,1964,1,3,0,5,Suburb
118,Cambrian Park,Single Family,1706000,1619,1053.74,5,3,7809,1962,2,2,0,68,Downtown
119,Blossom Valley,Single Family,2737000,3163,865.32,3,3,3855,2014,1,2,320,54,Suburb
120,Downtown San Jose,Condo,960000,1102,871.14,2,1,0,1958,1,1,0,19,Suburb
121,Berryessa,Condo,1031000,1199,859.88,3,2,0,1996,1,2,250,61,Downtown
122,West San Jose,Condo,738000,701,1052.78,1,1,0,2003,1,1,320,46,Rural
123,Alviso,Single Family,1736000,2803,619.34,5,1,6060,2002,2,1,0,90,Rural
124,Communications Hill,Single Family,1473000,1473,1000.0,2,1,7037,1960,1,1,0,78,Rural
125,West San Jose,Condo,1486000,1286,1155.52,1,2,0,1993,1,3,320,95,Downtown
126,Willow Glen,Multi-Family,4243000,3029,1400.79,5,4,4424,2021,3,1,320,31,Suburb
127,Alviso,Single Family,2066000,3378,611.6,3,1,5782,2021,2,2,0,82,Rural
128,Blossom Valley,Condo,758000,1170,647.86,1,2,0,1951,1,2,550,42,Downtown
129,Communications Hill,Single Family,994000,1125,883.56,3,2,8139,1999,3,2,0,14,Rural
130,Santa Teresa,Single Family,2060000,2640,780.3,4,3,6292,1968,2,2,0,75,Downtown
131,Blossom Valley,Single Family,1151000,1315,875.29,3,2,8561,1954,2,1,0,65,Downtown
132,Blossom Valley,Single Family,1935000,2218,872.41,3,3,4432,1992,3,1,0,65,Downtown
133,West San Jose,Condo,555000,646,859.13,1,2,0,1955,1,1,150,20,Rural
134,Willow Park,Single Family,2466000,2443,1009.41,2,1,7574,2003,2,2,0,67,Rural
135,West San Jose,Townhouse,1873000,1825,1026.3,3,2,1613,1953,1,2,550,43,Downtown
136,Blossom Valley,Single Family,2175000,2756,789.19,5,4,6921,1985,2,0,0,82,Downtown
137,North San Jose,Townhouse,1173000,1370,856.2,2,2,1016,1979,2,2,0,53,Downtown
138,Alviso,Single Family,1516000,2490,608.84,3,2,4877,1957,2,0,0,47,Downtown
139,Rose Garden,Condo,1186000,1260,941.27,1,1,0,1961,1,1,150,80,Rural
140,Cambrian Park,Townhouse,1704000,1671,1019.75,2,2,1811,2007,2,3,320,90,Suburb
141,Communications Hill,Townhouse,1394000,1658,840.77,3,3,1447,1967,2,2,480,41,Suburb
142,Willow Park,Single Family,1419000,1330,1066.92,3,3,4107,1987,1,0,0,39,Downtown
143,Almaden Valley,Condo,819000,692,1183.53,3,2,0,2007,1,3,480,8,Rural
144,North San Jose,Townhouse,1313000,1585,828.39,2,2,1774,2012,2,0,0,46,Rural
145,Santa Teresa,Single Family,1554000,1806,860.47,2,2,7086,2004,1,2,0,39,Downtown
146,Downtown San Jose,Single Family,2489000,2485,1001.61,5,3,3928,1990,2,0,0,39,Downtown
147,Berryessa,Condo,851000,1272,669.03,3,1,0,1990,1,2,150,47,Downtown
148,Berryessa,Multi-Family,2397000,3156,759.51,5,3,6437,1958,3,2,550,45,Suburb
149,Alviso,Single Family,2127000,3256,653.26,2,4,8992,2002,2,0,0,30,Downtown
150,Rose Garden,Townhouse,1476000,1497,985.97,2,2,1081,1967,1,3,400,72,Rural
